year,community,births,birthRate
1999,1,186,84.5
1999,2,63,29.8
1999,3,96,72.9
1999,4,60,54.2
1999,5,28,45.7
1999,6,32,43.8
1999,7,14,9.7
1999,8,69,66.3
1999,9,0,0
1999,10,7,8.7
1999,11,16,26.7
1999,12,4,9.7
1999,13,16,21.9
1999,14,134,66.9
1999,15,73,38
1999,16,90,52
1999,17,25,23.1
1999,18,19,46.9
1999,19,217,74.3
1999,20,125,103.1
1999,21,129,82.1
1999,22,308,106
1999,23,368,117.9
1999,24,254,99.7
1999,25,594,116
1999,26,145,143.3
1999,27,122,129.1
1999,28,151,73.9
1999,29,281,144
1999,30,346,96.4
1999,31,193,110.2
1999,32,0,0
1999,33,42,197.2
1999,34,11,37.3
1999,35,95,98.5
1999,36,41,142.9
1999,37,22,163
1999,38,175,141.1
1999,39,36,70.6
1999,40,120,174.9
1999,41,27,22.7
1999,42,120,105.7
1999,43,212,96.3
1999,44,113,96.5
1999,45,26,72.4
1999,46,126,80.2
1999,47,12,105.3
1999,48,29,56.9
1999,49,193,93.5
1999,50,36,112.1
1999,51,57,77.3
1999,52,68,70.8
1999,53,166,104.3
1999,54,47,97.7
1999,55,8,26.2
1999,56,47,42.4
1999,57,26,64
1999,58,157,86.5
1999,59,48,79.2
1999,60,61,60.5
1999,61,272,121.2
1999,62,32,58.9
1999,63,121,71.9
1999,64,22,34.6
1999,65,50,46.1
1999,66,277,100.1
1999,67,273,129.8
1999,68,242,136.3
1999,69,163,116.6
1999,70,67,46
1999,71,230,107.6
1999,72,21,27.5
1999,73,100,96.6
1999,74,16,25.6
1999,75,55,59.4
1999,76,8,42.3
1999,77,77,42.8
2000,1,162,73.6
2000,2,60,28.3
2000,3,103,78.3
2000,4,60,54.2
2000,5,25,40.8
2000,6,26,35.6
2000,7,18,12.5
2000,8,57,54.8
2000,9,1,3.6
2000,10,8,10
2000,11,2,3.3
2000,12,4,9.7
2000,13,7,9.6
2000,14,161,80.4
2000,15,69,35.9
2000,16,111,64.1
2000,17,23,21.2
2000,18,22,54.3
2000,19,246,84.2
2000,20,122,100.7
2000,21,125,79.5
2000,22,278,95.7
2000,23,364,116.6
2000,24,205,80.5
2000,25,522,101.9
2000,26,122,120.6
2000,27,116,122.8
2000,28,134,65.6
2000,29,274,140.4
2000,30,350,97.5
2000,31,184,105
2000,32,3,6.4
2000,33,20,93.9
2000,34,13,44.1
2000,35,86,89.2
2000,36,43,149.8
2000,37,16,118.5
2000,38,140,112.9
2000,39,24,47.1
2000,40,104,151.6
2000,41,24,20.2
2000,42,116,102.2
2000,43,195,88.6
2000,44,90,76.9
2000,45,30,83.6
2000,46,128,81.4
2000,47,15,131.6
2000,48,23,45.1
2000,49,183,88.7
2000,50,35,109
2000,51,48,65.1
2000,52,63,65.6
2000,53,160,100.6
2000,54,47,97.7
2000,55,11,36.1
2000,56,54,48.7
2000,57,23,56.7
2000,58,174,95.8
2000,59,38,62.7
2000,60,59,58.5
2000,61,260,115.9
2000,62,26,47.9
2000,63,155,92.2
2000,64,27,42.5
2000,65,58,53.5
2000,66,267,96.5
2000,67,240,114.1
2000,68,257,144.7
2000,69,140,100.1
2000,70,61,41.9
2000,71,195,91.2
2000,72,10,13.1
2000,73,86,83.1
2000,74,12,19.2
2000,75,46,49.7
2000,76,7,37
2000,77,73,40.6
2001,1,153,70.8
2001,2,64,30.1
2001,3,81,63.7
2001,4,33,31
2001,5,30,51.3
2001,6,26,35.4
2001,7,19,12.8
2001,8,64,62.6
2001,9,0,0
2001,10,6,7.4
2001,11,11,18.1
2001,12,3,7.2
2001,13,13,18.2
2001,14,145,73.7
2001,15,64,33.3
2001,16,106,62.1
2001,17,23,21.1
2001,18,18,44.2
2001,19,242,82.5
2001,20,114,95.5
2001,21,114,74.2
2001,22,217,77.4
2001,23,355,115.9
2001,24,166,67.9
2001,25,478,94.6
2001,26,126,125.6
2001,27,110,115.7
2001,28,102,50.6
2001,29,220,113.6
2001,30,378,107.3
2001,31,157,92.5
2001,32,1,1.7
2001,33,17,79.8
2001,34,10,33
2001,35,87,94.1
2001,36,24,84.5
2001,37,12,89.6
2001,38,140,116.3
2001,39,38,75.2
2001,40,90,131.6
2001,41,19,16.4
2001,42,97,84.3
2001,43,174,79.9
2001,44,78,66.7
2001,45,26,71.6
2001,46,134,86.2
2001,47,10,86.2
2001,48,30,59.5
2001,49,173,83.7
2001,50,24,75.9
2001,51,47,64.6
2001,52,80,83.7
2001,53,147,93.2
2001,54,46,98.1
2001,55,14,46.1
2001,56,53,48
2001,57,25,59.4
2001,58,188,103.2
2001,59,36,59.9
2001,60,46,45.9
2001,61,242,108.7
2001,62,29,52
2001,63,151,88.8
2001,64,24,37
2001,65,60,54.2
2001,66,232,84.3
2001,67,300,144.6
2001,68,241,137.2
2001,69,139,99.3
2001,70,73,49.4
2001,71,177,82.7
2001,72,10,13.3
