CommunityAreaNumber,CommunityAreaName,TeenBirths1999,TeenBirthRate1999,TeenBirths2000,TeenBirthRate2000,TeenBirths2001,TeenBirthRate2001,TeenBirths2002,TeenBirthRate2002,TeenBirths2003,TeenBirthRate2003,TeenBirths2004,TeenBirthRate2004,TeenBirths2005,TeenBirthRate2005,TeenBirths2006,TeenBirthRate2006,TeenBirths2007,TeenBirthRate2007,TeenBirths2008,TeenBirthRate2008,TeenBirths2009,TeenBirthRate2009
1,Rogers Park,186,84.5,162,73.6,153,70.8,109,51.4,100,48.1,84,41.2,98,49,85,43.4,50,26.1,73,38.9,75,40.8
2,West Ridge,63,29.8,60,28.3,64,30.1,72,33.8,66,30.9,73,34.1,59,27.5,73,33.9,80,37.1,68,31.4,65,29.9
3,Uptown,96,72.9,103,78.3,81,63.7,51,41.6,55,46.6,61,53.7,48,44,53,50.7,37,37,36,37.7,32,35.1
4,Lincoln Square,60,54.2,60,54.2,33,31,42,41.1,35,35.7,23,24.5,29,32.3,35,40.9,28,34.4,24,31.1,28,38.4
5,North Center,28,45.7,25,40.8,30,51.3,24,43.2,28,53,21,42,18,38.1,16,36.1,14,33.7,6,15.5,3,8.4
6,Lake View,32,43.8,26,35.6,26,35.4,17,23.1,17,23,7,9.4,5,6.7,10,13.3,11,14.6,11,14.6,12,15.8
7,Lincoln Park,14,9.7,18,12.5,19,12.8,23,15,15,9.4,17,10.4,14,8.3,17,9.8,19,10.6,3,1.6,4,2.1
8,Near North Side,69,66.3,57,54.8,64,62.6,50,49.8,62,62.8,59,60.8,41,43,35,37.4,29,31.6,29,32.2,30,34
9,Edison Park,0,0,1,3.6,0,0,1,3.7,0,0,2,7.5,3,11.3,3,11.4,2,7.6,3,11.5,1,3.9
10,Norwood Park,7,8.7,8,10,6,7.4,11,13.4,9,10.9,6,7.2,6,7.1,11,12.9,9,10.4,4,4.6,3,3.4
11,Jefferson Park,16,26.7,2,3.3,11,18.1,15,24.4,8,12.9,12,19.1,14,22,18,28,16,24.6,9,13.7,19,28.6
12,Forest Glen,4,9.7,4,9.7,3,7.2,4,9.4,4,9.2,3,6.8,3,6.7,5,11,4,8.7,7,15,3,6.3
13,North Park,16,21.9,7,9.6,13,18.2,16,23,10,14.7,11,16.7,7,10.9,14,22.4,12,19.7,8,13.5,6,10.5
14,Albany Park,134,66.9,161,80.4,145,73.7,115,59.5,117,61.7,104,55.9,101,55.3,101,56.4,105,59.8,86,50,75,44.5
15,Portage Park,73,38,69,35.9,64,33.3,66,34.3,58,30.1,81,41.9,75,38.8,66,34.1,82,42.3,70,36.1,81,41.7
16,Irving Park,90,52,111,64.1,106,62.1,93,55.3,90,54.3,96,58.8,62,38.5,90,56.8,83,53.2,78,50.7,56,37
17,Dunning,25,23.1,23,21.2,23,21.1,19,17.3,30,27.1,25,22.4,26,23.1,31,27.4,20,17.5,26,22.6,23,19.9
18,Montclaire,19,46.9,22,54.3,18,44.2,30,73.3,14,34.1,10,24.2,14,33.7,17,40.8,16,38.2,22,52.3,26,61.5
19,Belmont Cragin,217,74.3,246,84.2,242,82.5,223,75.6,225,75.9,220,73.9,225,75.2,263,87.5,244,80.8,198,65.3,208,68.2
20,Hermosa,125,103.1,122,100.7,114,95.5,102,86.8,83,71.7,96,84.3,87,77.6,70,63.5,78,72,68,63.8,73,69.7
21,Avondale,129,82.1,125,79.5,114,74.2,108,72,115,78.6,92,64.5,92,66.1,84,62,91,69,73,56.9,79,63.4
22,Logan Square,308,106,278,95.7,217,77.4,200,74,199,76.5,199,79.5,152,63.3,161,70,149,67.8,145,69.1,132,66.1
23,Humboldt park,368,117.9,364,116.6,355,115.9,326,108.5,268,91,280,97,286,101.1,251,90.6,244,90,260,98,202,77.9
24,West Town,254,99.7,205,80.5,166,67.9,151,64.6,140,62.7,136,63.9,137,67.7,110,57.3,105,57.8,75,43.8,79,49.2
25,Austin,594,116,522,101.9,478,94.6,386,77.5,421,85.7,405,83.6,382,80,427,90.7,430,92.8,402,88,368,81.8
26,West Garfield Park,145,143.3,122,120.6,126,125.6,122,122.7,104,105.6,81,83,106,109.6,88,91.9,108,113.8,110,117,107,114.9
27,East Garfield Park,122,129.1,116,122.8,110,115.7,101,105.5,86,89.3,109,112.5,109,111.8,83,84.7,96,97.4,88,88.7,93,93.2
28,Near West Side,151,73.9,134,65.6,102,50.6,107,54,101,51.7,66,34.3,57,30.1,81,43.5,70,38.2,77,42.8,65,36.7
29,North Lawndale,281,144,274,140.4,220,113.6,204,106.1,177,92.8,168,88.7,169,90,196,105.2,191,103.4,161,87.8,198,108.9
30,South Lawndale,346,96.4,350,97.5,378,107.3,333,96.4,294,86.8,340,102.4,280,86.1,280,87.9,263,84.4,258,84.6,231,77.5
31,Lower West Side,193,110.2,184,105,157,92.5,120,73,125,78.6,118,76.8,115,77.6,118,82.6,105,76.4,98,74.2,62,49
